age,weight,height,sex,distance,time,first distance,first time,first days before main event,second distance,second time,second days before main event
48.0,73.0,1.83,M,42.195,202.91666666666666,21.0975,88.03333333333333,168.0,10.0,39.61666666666667,161.0
54.0,74.0,1.77,M,42.195,253.48333333333332,21.0975,101.83333333333333,28.0,10.0,47.1,105.0
51.0,74.0,1.77,M,42.195,204.38333333333333,21.0975,91.55,76.0,10.0,40.6,35.0
50.0,74.0,1.77,M,42.195,199.56666666666666,21.0975,94.46666666666667,35.0,10.0,44.333333333333336,21.0
35.0,59.0,1.74,M,42.195,137.08333333333334,21.0975,67.71666666666667,70.0,10.0,31.4,162.0
31.0,59.0,1.74,M,42.195,145.88333333333333,21.0975,67.98333333333333,42.0,10.0,30.766666666666666,21.0
21.0,52.0,1.65,F,42.195,215.8,21.0975,106.21666666666667,36.0,10.0,49.06666666666667,112.0
42.0,58.0,1.71,F,42.195,211.5,21.0975,95.93333333333334,126.0,10.0,43.86666666666667,147.0
40.0,58.0,1.71,F,42.195,215.51666666666668,21.0975,92.2,126.0,10.0,42.3,140.0
24.0,69.0,1.8,M,42.195,166.48333333333332,21.0975,80.76666666666667,50.0,10.0,33.2,36.0
42.0,75.0,1.82,M,42.195,235.7,21.0975,95.31666666666666,21.0,10.0,41.233333333333334,14.0
42.0,75.0,1.82,M,42.195,208.7,21.0975,88.61666666666666,63.0,10.0,39.516666666666666,35.0
41.0,75.0,1.82,M,42.195,230.21666666666667,21.0975,91.28333333333333,24.0,10.0,40.416666666666664,28.0
25.0,63.0,1.71,M,42.195,148.36666666666667,21.0975,69.65,28.0,10.0,33.083333333333336,175.0
23.0,63.0,1.71,M,42.195,154.18333333333334,21.0975,70.9,35.0,10.0,32.96666666666667,63.0
54.0,64.0,1.7,M,42.195,240.41666666666666,21.0975,92.16666666666667,28.0,10.0,42.56666666666667,49.0
52.0,64.0,1.7,M,42.195,212.7,21.0975,95.15,28.0,10.0,43.25,21.0
52.0,64.0,1.7,M,42.195,202.2,21.0975,95.6,28.0,10.0,43.13333333333333,28.0
48.0,58.0,1.68,M,42.195,169.4,21.0975,80.23333333333333,163.0,10.0,36.516666666666666,135.0
51.0,79.0,1.78,M,42.195,198.45,21.0975,91.51666666666667,161.0,10.0,40.95,42.0
50.0,66.0,1.8,M,42.195,194.8,21.0975,94.68333333333334,129.0,10.0,41.516666666666666,72.0
45.0,66.0,1.8,M,42.195,206.31666666666666,21.0975,92.88333333333334,126.0,10.0,40.833333333333336,7.0
60.0,67.0,1.72,M,42.195,176.11666666666667,21.0975,84.0,70.0,10.0,38.93333333333333,42.0
60.0,67.0,1.72,M,42.195,178.73333333333332,21.0975,83.96666666666667,34.0,10.0,37.63333333333333,49.0
58.0,67.0,1.72,M,42.195,186.61666666666667,21.0975,84.3,33.0,10.0,37.56666666666667,49.0
57.0,67.0,1.72,M,42.195,221.81666666666666,21.0975,89.91666666666667,42.0,10.0,41.4,105.0
55.0,67.0,1.72,M,42.195,184.38333333333333,21.0975,91.15,21.0,10.0,39.61666666666667,98.0
53.0,67.0,1.72,M,42.195,178.7,21.0975,86.05,15.0,10.0,39.35,50.0
51.0,67.0,1.72,M,42.195,188.68333333333334,21.0975,89.91666666666667,42.0,10.0,41.35,35.0
51.0,67.0,1.72,M,42.195,198.05,21.0975,86.93333333333334,42.0,10.0,38.36666666666667,29.0
35.0,68.0,1.76,M,42.195,203.55,21.0975,92.11666666666666,119.0,10.0,41.483333333333334,133.0
30.0,70.0,1.79,M,42.195,190.61666666666667,21.0975,86.2,147.0,10.0,37.95,84.0
58.0,69.0,1.69,M,42.195,320.81666666666666,21.0975,121.25,161.0,10.0,55.55,175.0
57.0,69.0,1.69,M,42.195,333.1666666666667,21.0975,124.11666666666666,105.0,10.0,53.2,35.0
55.0,69.0,1.69,M,42.195,328.73333333333335,21.0975,117.78333333333333,98.0,10.0,55.4,105.0
54.0,69.0,1.69,M,42.195,245.01666666666668,21.0975,110.31666666666666,28.0,10.0,51.88333333333333,150.0
54.0,69.0,1.69,M,42.195,247.38333333333333,21.0975,113.31666666666666,28.0,10.0,48.516666666666666,49.0
21.0,65.0,1.8,M,42.195,175.83333333333334,21.0975,81.5,28.0,10.0,36.7,35.0
30.0,57.0,1.73,M,42.195,148.73333333333332,21.0975,68.16666666666667,42.0,10.0,29.3,98.0
38.0,70.0,1.75,M,42.195,187.06666666666666,21.0975,80.0,28.0,10.0,36.45,14.0
44.0,71.0,1.76,M,42.195,177.61666666666667,21.0975,85.05,28.0,10.0,37.333333333333336,14.0
40.0,71.0,1.76,M,42.195,188.15,21.0975,85.15,168.0,10.0,38.65,119.0
41.0,68.0,1.8,M,42.195,194.5,21.0975,87.83333333333333,28.0,10.0,39.78333333333333,106.0
49.0,68.0,1.65,M,42.195,198.9,21.0975,91.7,21.0,10.0,41.36666666666667,161.0
31.0,60.0,1.65,F,42.195,195.31666666666666,21.0975,87.45,63.0,10.0,38.666666666666664,140.0
30.0,60.0,1.65,F,42.195,184.51666666666668,21.0975,85.8,28.0,10.0,39.06666666666667,14.0
30.0,60.0,1.65,F,42.195,194.9,21.0975,89.61666666666666,35.0,10.0,41.46666666666667,154.0
26.0,60.0,1.65,F,42.195,189.26666666666668,21.0975,86.53333333333333,28.0,10.0,39.03333333333333,7.0
25.0,60.0,1.65,F,42.195,198.18333333333334,21.0975,87.73333333333333,49.0,10.0,39.63333333333333,178.0
24.0,60.0,1.65,F,42.195,212.76666666666668,21.0975,91.73333333333333,21.0,10.0,42.55,160.0
24.0,60.0,1.65,F,42.195,224.05,21.0975,101.48333333333333,28.0,10.0,43.35,168.0
52.0,43.0,1.5,F,42.195,230.11666666666667,21.0975,110.88333333333334,14.0,10.0,50.88333333333333,28.0
46.0,43.0,1.5,F,42.195,280.23333333333335,21.0975,119.91666666666667,70.0,10.0,54.75,113.0
45.0,73.0,1.82,M,42.195,205.71666666666667,21.0975,90.18333333333334,21.0,10.0,39.7,147.0
44.0,73.0,1.82,M,42.195,194.63333333333333,21.0975,86.95,21.0,10.0,39.53333333333333,36.0
32.0,65.0,1.82,M,42.195,245.4,21.0975,74.41666666666667,168.0,10.0,32.38333333333333,50.0
